movie_id,Action & Adventure,Anime Features,Children & Family Movies,Classic Movies,Comedies,Cult Movies,Documentaries,Dramas,Faith & Spirituality,Horror Movies,Independent Movies,International Movies,LGBTQ Movies,Music & Musicals,Romantic Movies,Sci-Fi & Fantasy,Sports Movies,Stand-Up Comedy,Thrillers,Movies
2,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
3,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
4,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
6,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
7,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
8,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
11,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
12,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
13,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
14,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
17,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
18,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
19,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True
20,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
21,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
23,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
24,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True
25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
27,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
28,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
29,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True
30,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
31,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
32,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
33,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
34,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
35,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
36,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
37,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
38,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
39,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
40,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
42,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
43,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
44,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
45,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
46,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
47,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
48,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
49,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
50,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
51,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
52,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
53,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
54,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
55,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
56,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
57,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
58,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
59,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
60,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
61,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
62,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
63,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
64,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
65,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
66,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
67,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True
68,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
69,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
70,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
71,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
72,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
73,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
74,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
75,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
76,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True
77,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
78,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
79,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
81,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
